WEDNESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
E-31 Academic Block II (52),"SS1015-PST BCS-4K
Muhammad Abdullah (VF)","SS1015-PST BCS-4K
Muhammad Abdullah (VF)","CS2005-DBS BCS-4K
Ghulam Qadir",,,,,"MT2005-Prob BCY-4A
Syed Ashad",
E-32 Academic Block II (52),"CS2009-DAA BCY-4A
Sandesh Kumar","SS2012-TBW BCY-4A
Javeria Ali Wadho",,,,"MT2005-Prob BCS-4K
Uzma Saleh","CS3004-SDA BCS-4K
Ahmed Qaiser (VF)",,"AI2002-AI BCS-4K
Farooq Zaidi"
E-33 Academic Block II (52),"CS2006-OS BAI-4A
Saeeda Kanwal",,"SE2001-SRE BSE-4B
Alina Arshad ",,"MT2005-Prob BSE-4A
Uzma Saleh",,"SE2001-SRE BSE-4A
Alina Arshad ","AI2002-AI BAI-4A
Farooq Zaidi",
E-34 Academic Block II (52),"CS2006-OS BSE-4B
Zulfiqar Rafique","MT2005-Prob BDS-4A
Muhammad Amjad",,"CS2004-FSE BDS-4A
Sania Urooj","CS2004-FSE BDS-4A
Sania Urooj","CS2006-OS BDS-4A
Syed Faisal Ali",,,
E-35 Academic Block II (52),"CS2005-DBS BDS-4B
Sameer Faisal","CS2004-FSE BDS-4B
Sania Urooj","CS2006-OS BDS-4B
Saeeda Kanwal",,,"MT2005-Prob BDS-4B
Muhammad Amjad","MT2005-Prob BDS-4B
Muhammad Amjad",,
LLC Academic Block I (R7) (50),,,,,,,"Eng-II lab BSFT-2B
 Javeria  Ali Wadho",,
C-20 Academic Block II (50),"IDB Lab BSFT-4A
Muhammad Shahzaib ",,,,,,,,
Eng Lang Room Academic Block II (50),,,,,,,,,
COMPUTING LABS,,,,,,,,,
Academic Block I LAB-1 (49),"AL2002-AI Lab BCS-4C
Ramsha Jatt",,,,,,"CL3001-CN Lab BAI-6A
Sameer Faisal",,
Academic Block I CY LAB-2 (48),"AL2002-AI Lab BCS-4A
Jahanzaib",,,"CL3001-CN Lab BSE-6A
Muhammad Nadeem",,,,,
Academic Block I LAB-3 (47),"PB Lab BSFT-2E
Owais",,,"CL2006-OS Lab BAI-4A
Khadeejah Ashraf",,,"AL2002-AI Lab BCS-4B
Atif",,
Academic Block I LAB-4 (46),"AF Lab  BSFT-2A
Muhammad Saad",,,"CS3001-CN Lab BCY-4A
Waseem Rauf",,,"CL2005-DBS Lab BCS-4D
Osama Tahir",,
Academic Block III LAB-5 (52),"AL2002-AI Lab BCS-4G
Riaz Ahmed",,,"AL2002-AI Lab BCS-4F
Surakshah ",,,"AL2002-AI Lab BCS-6G
Qasim Keeryo",,
