MONDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Academic Block II CY LAB-8 (49),CL1011-Prog. for Engrs. Lab BSEE-2A                                                                                                                                                                                                                                                     Engr. Daniyal,,,CL1002-PF Lab BSCE-2B                                                                                                                                                                                                                                                                         Mr. Waseem Rauf,,,EL2008-SS Lab BSEE-4B                                                                                                                                                                                      Engr. Zakir Hussain,,
Academic Block II AI/ML LAB-9 (47),"AF Lab  BSBA-2A
Muhammad Saad",,,,,,"PB Lab BSFT-2B
Owais",,
Academic Block II LAB-10 (44),,,,,,,"YL3005-NS BCY-6A
Nouman Rajput",,
Academic Block II LAB-11 (46),"CL2006-OS Lab BCS-4G
Ravia Ijaz",,,"CL2005-DBS Lab BCS-4J
Sadaf Zehra",,,"CL2005-DBS Lab BCS-4A
Sheeraz Iqbal",,
Academic Block II Lab-12 (47),"CL3001-CN Lab BCS-8A
Abdullah Shaikh",,,"CL2006-OS Lab BCS-4H
Abdullah Shaikh",,,"MLBALab BSBA-6A
Irfan Ali ",,
Academic Block II Lab-13 (47),,,,,,,,,
Academic Block II Lab-14 (43),,,,,,,,,
ENGINEERING LABS,,,,,,,,,
Academic Block II Microprocessor and Interfacing Lab,"EL1005-DLD Lab BCS-2G
Saira Ayub",,,"EL1005-DLD Lab BAI-2C
Miqdad Khan",,,"EL1005-DLD Lab BCS-2K
Aashir Mahboob",,
Academic Block II Electronics Lab,,,,EL1001-LCA Lab BSEE-2C                                                                                                                                                                                                    Engr. Daniyal,,,EL1001-LCA Lab BSCE-2A                                                                                                                                                                                                    Engr. Quratul Ain,,
Academic Block II Engineering Workshop Lab,EL1006-EWS Lab BSCE-2A                                                                                                                                                                                                    Engr. Mariyam,,,,,,EL1006-EWS Lab BSEE-2B                                                                                                                                                                                                    Engr. Mariyam,,
Academic Block II Electromechanical Systems Lab,,,,EL2010-EMS Lab BSEE-6B                                                                                                                                                                                                    Engr. Maham Ghouri,,,,,
Academic Block II Power Lab,,,,EL3004-FCS Lab BSEE-6A                                                                                                                                                                                      Engr. Zohaib,,,,,
Academic Block II Physics Lab,,,,,,,,,
